constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,100uM,1,centros_4_8_16,orden,paso,4,plugin,60,402,0.0522698,0.0284413,0.014039,0.00774295,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,4,mm,60,402,0.048681,0.0240581,0.0096732,0.00794663,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,4,pt,60,402,0.0468866,0.023285,0.00888725,0.00787526,0.001998,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,paso,4,nsb,60,402,0.0461336,0.0211507,0.00719309,0.00790453,0.001998,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,4,plugin,60,402,0.125711,0.0343544,0.0180799,0.0090166,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,4,mm,60,402,0.118534,0.0264722,0.0086916,0.00979603,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,4,pt,60,402,0.116739,0.0254832,0.0084673,0.00951786,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell_paso,4,nsb,60,402,0.1102,0.0191076,0.00186707,0.0094276,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,8,plugin,60,402,0.606254,0.491842,0.446099,0.028295,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,8,mm,60,402,0.444758,0.32321,0.272484,0.0313604,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,8,pt,60,402,0.333506,0.217619,0.161388,0.0345319,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,8,nsb,60,402,0.25459,0.131199,0.072591,0.0364418,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell,8,plugin,60,402,0.159317,0.13283,0.0968455,0.0197436,0.004995,True,0.00999001,True
E215C,100uM,1,centros_4_8_16,orden,dwell,8,mm,60,402,0.0731857,0.0449093,0.00906358,0.0199234,0.004995,True,0.00999001,True
